no;dyads;dY;dX;dyad1;dyad2
137;Feb-40;1.204896399;3.244305544;2;40
138;Feb-41;4.523073297;3.242810874;2;41
139;Feb-42;-0.054870243;1.636357364;2;42
140;Feb-43;1.978987509;1.639568793;2;43
141;Feb-44;1.372769515;2.002944904;2;44
142;Feb-45;1.350342963;1.783156824;2;45
143;Feb-46;-1.385762819;1.180394361;2;46
144;Feb-47;2.712693495;2.233778407;2;47
145;Feb-48;2.25222106;1.534296082;2;48
146;Feb-49;1.865767822;1.552942064;2;49
147;Feb-50;-2.298280549;0.265465055;2;50
148;Feb-51;0.017672591;1.232049968;2;51
149;Feb-52;-0.668289392;0.975974611;2;52
150;Feb-53;2.288012566;1.073784452;2;53
151;Feb-54;2.722546895;2.963449211;2;54
152;Feb-55;3.266038787;3.998237895;2;55
153;Feb-56;1.275358322;1.659369697;2;56
154;Feb-57;0.773725134;2.368495725;2;57
155;Feb-58;2.63368489;2.363401073;2;58
156;Feb-59;0.885035496;2.038874154;2;59
157;Feb-60;1.040991913;1.28710844;2;60
158;Feb-61;-2.452719456;0.596495279;2;61
159;Feb-62;2.227166429;2.039622737;2;62
160;Feb-63;1.602466943;3.114617692;2;63
161;Feb-64;2.95315127;1.899947328;2;64
162;Feb-65;3.033423781;2.358638015;2;65
163;Feb-66;0.318706845;1.757395701;2;66
164;Feb-67;-0.299205355;1.202068329;2;67
165;Feb-68;1.724911213;2.852258701;2;68
166;Feb-69;1.887940133;2.615337569;2;69
167;Feb-70;2.059481713;2.556790624;2;70
168;Feb-71;3.774277211;2.085758088;2;71
169;Feb-72;0.549339513;1.305288806;2;72
170;Feb-73;1.505119846;0.485915201;2;73
171;Feb-74;3.037275277;2.741513397;2;74
172;Feb-75;-1.710427456;0.814118433;2;75
173;Feb-76;1.448866329;2.333291819;2;76
174;Feb-77;1.900679161;2.285494307;2;77
175;Feb-78;1.933980537;1.734244587;2;78
176;Feb-79;0.482931382;1.558141468;2;79
177;Feb-80;-0.639058182;1.353892096;2;80
178;Feb-81;0.562266756;1.768800853;2;81
179;Feb-82;2.495059725;4.21225395;2;82
180;Feb-83;4.16606241;3.093993707;2;83
181;Feb-84;2.814258003;3.815532288;2;84
182;Feb-85;0.593326148;1.638326928;2;85
183;Feb-86;-0.403215709;2.416052944;2;86
184;Feb-87;-1.511133721;0.845314693;2;87
185;Feb-88;-0.758629794;0.289526757;2;88
186;Feb-89;1.63294336;1.220395946;2;89
187;Feb-90;4.264739439;2.764822762;2;90
188;Feb-91;1.882377097;3.212363256;2;91
189;Feb-92;1.327504254;0.378264695;2;92
190;Feb-93;2.418966539;1.974923745;2;93
191;Feb-94;2.508572504;2.481116852;2;94
192;Feb-95;1.489021886;0.617985981;2;95
193;Feb-96;1.958090399;1.224452982;2;96
194;Feb-97;-0.202972608;1.86513445;2;97
195;Feb-98;2.469028293;1.626853792;2;98
196;Feb-99;1.521679188;2.851940773;2;99
197;2-100;0.803681882;2.113725836;2;100
198;03-Apr;-0.024648177;0.265793328;3;4
199;03-Mei;-0.435138741;1.458436447;3;5
200;03-Jun;0.68947774;0.985223936;3;6
201;03-Jul;3.266821676;1.112518992;3;7
202;03-Agust;2.865551004;0.483058516;3;8
203;03-Sep;-0.735747728;0.397336624;3;9
204;03-Okt;1.187652306;0.992536117;3;10
205;03-Nop;2.319275864;1.601287066;3;11
206;03-Des;2.261920949;0.02584175;3;12
207;Mar-13;0.533830235;1.494679363;3;13
208;Mar-14;3.770213159;1.561047451;3;14
209;Mar-15;2.170339972;0.603969942;3;15
210;Mar-16;2.251588042;0.352918148;3;16
211;Mar-17;3.920331856;2.449294684;3;17
212;Mar-18;0.394924265;0.211262487;3;18
213;Mar-19;0.435279;0.99507317;3;19
214;Mar-20;-0.253967756;0.522792563;3;20
215;Mar-21;2.065301363;1.146117966;3;21
216;Mar-22;2.229264003;0.822061542;3;22
217;Mar-23;2.394849768;0.215549567;3;23
218;Mar-24;2.075497207;1.137898591;3;24
219;Mar-25;0.177734269;0.394606105;3;25
220;Mar-26;0.612069225;0.14242641;3;26
221;Mar-27;0.054297405;1.283386398;3;27
222;Mar-28;0.919942686;1.183447219;3;28
223;Mar-29;2.252103763;1.535958606;3;29
224;Mar-30;5.31992383;3.969004181;3;30
225;Mar-31;2.942473722;0.248151488;3;31
226;Mar-32;2.000895964;1.00708644;3;32
227;Mar-33;0.958664378;0.288469213;3;33
228;Mar-34;0.580045666;0.115058406;3;34
229;Mar-35;2.370870743;1.435227187;3;35
230;Mar-36;2.770367498;1.848970575;3;36
231;Mar-37;5.673839896;0.987603198;3;37
232;Mar-38;1.279183057;0.144777562;3;38
233;Mar-39;1.695183963;0.299801015;3;39
234;Mar-40;1.650200995;0.951514506;3;40
235;Mar-41;2.5657318;0.950019836;3;41
236;Mar-42;0.234315981;0.656433674;3;42
237;Mar-43;0.318717698;0.653222245;3;43
238;Mar-44;0.721343144;0.289846134;3;44
239;Mar-45;0.933600538;0.509634214;3;45
240;Mar-46;1.232615828;1.112396677;3;46
241;Mar-47;3.064853916;0.059012631;3;47
242;Mar-48;1.20498711;0.758494956;3;48
243;Mar-49;2.557785672;0.739848974;3;49
244;Mar-50;1.53016839;2.027325983;3;50
245;Mar-51;-0.416211089;1.06074107;3;51
246;Mar-52;3.207451952;3.268765649;3;52
247;Mar-53;1.798781024;1.219006586;3;53
248;Mar-54;1.164759218;0.670658173;3;54
249;Mar-55;2.341112889;1.705446858;3;55
250;Mar-56;1.785672699;0.633421341;3;56
251;Mar-57;0.115241733;0.075704687;3;57
252;Mar-58;0.4803277;0.070610035;3;58
253;Mar-59;0.515431808;0.253916884;3;59
254;Mar-60;2.254029323;1.005682598;3;60
255;Mar-61;4.959860586;2.889286317;3;61
256;Mar-62;1.117189139;0.253168301;3;62
257;Mar-63;0.289730872;0.821826654;3;63
258;Mar-64;1.735162269;0.39284371;3;64
259;Mar-65;-0.310588994;0.065846977;3;65
260;Mar-66;1.371147245;0.535395336;3;66
261;Mar-67;3.852580869;1.090722709;3;67
262;Mar-68;1.372765995;0.559467663;3;68
263;Mar-69;0.106426758;0.322546531;3;69
264;Mar-70;1.104349798;0.263999586;3;70
265;Mar-71;1.694081832;0.207032949;3;71
266;Mar-72;0.512238814;0.987502232;3;72
267;Mar-73;3.537881245;1.806875837;3;73
268;Mar-74;1.045243916;0.448722359;3;74
269;Mar-75;-0.494756783;1.478672605;3;75
270;Mar-76;0.159909004;0.040500781;3;76
271;Mar-77;3.944866445;0.007296731;3;77
272;Mar-78;0.9609501;0.558546451;3;78
273;Mar-79;0.211538132;0.73464957;3;79
274;Mar-80;1.263614562;0.938898942;3;80
275;Mar-81;2.177504405;0.523990185;3;81
276;Mar-82;1.475575965;1.919462912;3;82
277;Mar-83;0.599498209;0.801202669;3;83
278;Mar-84;3.439705246;1.52274125;3;84
279;Mar-85;1.46736124;0.65446411;3;85
280;Mar-86;0.706454901;0.123261906;3;86
281;Mar-87;0.292228615;1.447476345;3;87
282;Mar-88;3.27353671;2.582317795;3;88
283;Mar-89;2.396801755;1.072395092;3;89
284;Mar-90;1.724939973;0.472031724;3;90
285;Mar-91;1.944158045;0.919572218;3;91
286;Mar-92;4.338722329;2.671055733;3;92
287;Mar-93;1.932115335;0.317867293;3;93
288;Mar-94;2.043123764;0.188325814;3;94
289;Mar-95;3.211422829;1.674805057;3;95
290;Mar-96;2.04012644;1.068338055;3;96
291;Mar-97;0.375344537;0.427656588;3;97
292;Mar-98;1.435882615;0.665937246;3;98
293;Mar-99;2.14957532;0.559149735;3;99
294;3-100;-1.038743267;0.179065202;3;100
295;04-Mei;-2.55224171;1.192643119;4;5
296;04-Jun;-0.84815971;0.719430608;4;6
297;04-Jul;3.002077463;0.846725664;4;7
298;04-Agust;1.932423331;0.217265188;4;8
299;04-Sep;-1.177101842;0.131543296;4;9
300;04-Okt;0.237813;0.726742789;4;10
301;04-Nop;-1.043910335;1.335493738;4;11
302;04-Des;-1.477695535;0.239951578;4;12
303;Apr-13;-2.058198142;1.228886035;4;13
304;Apr-14;2.166181201;1.295254123;4;14
305;Apr-15;0.69965321;0.338176614;4;15
306;Apr-16;1.593617199;0.618711476;4;16
307;Apr-17;1.155341881;2.183501356;4;17
308;Apr-18;-0.040278657;0.477055815;4;18
309;Apr-19;-0.189363974;1.260866499;4;19
310;Apr-20;-0.469799263;0.788585891;4;20
311;Apr-21;-1.459589269;0.880324638;4;21
312;Apr-22;-0.056426929;0.556268214;4;22
313;Apr-23;-0.214034493;0.481342895;4;23
314;Apr-24;1.025611645;0.872105263;4;24
315;Apr-25;-4.12779345;0.128812777;4;25
316;Apr-26;0.603084323;0.408219738;4;26
317;Apr-27;0.259737039;1.549179726;4;27
318;Apr-28;0.581970603;0.917653891;4;28
319;Apr-29;-0.192594015;1.270165278;4;29
320;Apr-30;3.022652292;3.703210853;4;30
321;Apr-31;0.881291481;0.513944816;4;31
322;Apr-32;-1.742594992;0.741293112;4;32
323;Apr-33;-0.844687187;0.554262541;4;33
324;Apr-34;-1.472006117;0.380851734;4;34
325;Apr-35;2.089651563;1.169433859;4;35
326;Apr-36;2.207995325;1.583177247;4;36
327;Apr-37;2.753611067;0.72180987;4;37
328;Apr-38;-0.081961467;0.121015766;4;38
329;Apr-39;0.354488888;0.034007687;4;39
330;Apr-40;0.512052428;1.217307834;4;40
331;Apr-41;1.001005312;1.215813164;4;41
332;Apr-42;-1.111229129;0.390640346;4;42
333;Apr-43;-1.236129954;0.387428917;4;43
334;Apr-44;-1.938491377;0.024052806;4;44
335;Apr-45;-2.939300004;0.243840886;4;45
336;Apr-46;-1.192339121;0.846603349;4;46
337;Apr-47;-1.328119706;0.206780698;4;47
338;Apr-48;-0.095233534;0.492701628;4;48
339;Apr-49;0.313052982;0.474055646;4;49
340;Apr-50;-2.570312821;1.761532655;4;50
341;Apr-51;-2.079274805;0.794947742;4;51
342;Apr-52;3.128951389;3.002972321;4;52
343;Apr-53;-2.155187352;0.953213258;4;53
344;Apr-54;0.196155836;0.936451501;4;54
345;Apr-55;0.812612052;1.971240186;4;55
346;Apr-56;-0.068355984;0.367628013;4;56
347;Apr-57;0.901166322;0.341498015;4;57
348;Apr-58;1.157342685;0.336403363;4;58
349;Apr-59;0.472345344;0.011876444;4;59
350;Apr-60;1.7091966;0.73988927;4;60
351;Apr-61;2.340065684;2.623492989;4;61
352;Apr-62;-1.466894763;0.012625027;4;62
353;Apr-63;-0.702614711;1.087619982;4;63
354;Apr-64;-0.331809434;0.127050382;4;64
355;Apr-65;-1.572561499;0.331640305;4;65
356;Apr-66;-1.181661507;0.269602008;4;66
357;Apr-67;-0.137095638;0.824929381;4;67
358;Apr-68;-1.63348983;0.825260991;4;68
359;Apr-69;-0.888210466;0.588339859;4;69
360;Apr-70;-0.621828294;0.529792914;4;70
361;Apr-71;1.42281979;0.058760379;4;71
362;Apr-72;0.986683191;0.721708904;4;72
363;Apr-73;-0.235856185;1.541082509;4;73
364;Apr-74;-0.851569462;0.714515687;4;74
365;Apr-75;-0.223207777;1.212879277;4;75
366;Apr-76;-1.943678015;0.306294109;4;76
367;Apr-77;1.652277296;0.258496598;4;77
368;Apr-78;0.314092732;0.292753123;4;78
369;Apr-79;-1.252128822;0.468856242;4;79
370;Apr-80;-0.379383339;0.673105614;4;80
371;Apr-81;-1.489060537;0.258196857;4;81
372;Apr-82;-1.382091222;2.18525624;4;82
373;Apr-83;0.907789574;1.066995997;4;83
374;Apr-84;2.465638238;1.788534578;4;84
375;Apr-85;0.727547638;0.388670781;4;85
376;Apr-86;-1.666902094;0.389055234;4;86
377;Apr-87;-2.740237267;1.181683017;4;87
378;Apr-88;0.348289221;2.316524467;4;88
379;Apr-89;-0.658732658;0.806601764;4;89
380;Apr-90;3.139547868;0.737825052;4;90
381;Apr-91;-0.773999669;1.185365546;4;91
382;Apr-92;2.978357854;2.405262405;4;92
383;Apr-93;-1.287739355;0.052073965;4;93
384;Apr-94;-0.343214103;0.454119142;4;94
385;Apr-95;1.075442847;1.409011729;4;95
386;Apr-96;1.532533491;0.802544727;4;96
387;Apr-97;-0.880651018;0.16186326;4;97
388;Apr-98;1.128177464;0.400143917;4;98
389;Apr-99;0.604380443;0.824943063;4;99
390;4-100;-0.992894893;0.086728126;4;100
391;05-Jun;0.085415562;0.473212511;5;6
392;05-Jul;0.347466717;0.345917455;5;7
393;05-Agust;3.790284466;0.975377931;5;8
394;05-Sep;0.493070397;1.061099823;5;9
395;05-Okt;-0.026066109;0.46590033;5;10
396;05-Nop;-1.563326534;0.142850619;5;11
397;05-Des;0.56737618;1.432594697;5;12
398;Mei-13;-1.530341635;0.036242916;5;13
399;Mei-14;2.518373399;0.102611004;5;14
400;Mei-15;2.124352469;0.854466505;5;15
401;Mei-16;3.021062081;1.811354595;5;16
402;Mei-17;0.342293045;0.990858237;5;17
403;Mei-18;1.642917523;1.669698934;5;18
404;Mei-19;1.021587387;2.453509618;5;19
405;Mei-20;-0.946191756;1.98122901;5;20
406;Mei-21;0.196805434;0.312318482;5;21
407;Mei-22;-0.2526181;0.636374905;5;22
408;Mei-23;1.996453267;1.673986014;5;23
409;Mei-24;-0.638329444;0.320537856;5;24
410;Mei-25;-0.350997756;1.063830342;5;25
411;Mei-26;0.429662483;1.600862857;5;26
412;Mei-27;0.326151065;2.741822845;5;27
413;Mei-28;-0.991588761;0.274989228;5;28
414;Mei-29;-1.412850677;0.077522159;5;29
415;Mei-30;3.249763377;2.510567734;5;30
416;Mei-31;4.038185083;1.706587935;5;31
417;Mei-32;-2.195721197;0.451350007;5;32
418;Mei-33;1.49873205;1.74690566;5;33
419;Mei-34;-0.250039489;1.573494853;5;34
420;Mei-35;-0.127971345;0.02320926;5;35
421;Mei-36;0.448619701;0.390534128;5;36
422;Mei-37;2.595481877;0.470833249;5;37
423;Mei-38;4.015303456;1.313658885;5;38
424;Mei-39;2.54178182;1.158635432;5;39
425;Mei-40;1.21948779;2.409950953;5;40
426;Mei-41;0.220944409;2.408456283;5;41
427;Mei-42;-2.395616056;0.802002773;5;42
428;Mei-43;-1.085410779;0.805214202;5;43
429;Mei-44;-1.171538179;1.168590313;5;44
430;Mei-45;-1.527332453;0.948802233;5;45
431;Mei-46;-1.132526316;0.34603977;5;46
432;Mei-47;1.933098418;1.399423817;5;47
433;Mei-48;0.109642532;0.699941491;5;48
434;Mei-49;0.935418434;0.718587473;5;49
435;Mei-50;-2.796381429;0.568889536;5;50
436;Mei-51;-2.278596523;0.397695377;5;51
437;Mei-52;1.520247024;1.810329202;5;52
438;Mei-53;-2.096269645;0.239429861;5;53
439;Mei-54;0.574748492;2.12909462;5;54
440;Mei-55;2.918026114;3.163883305;5;55
441;Mei-56;0.782422662;0.825015106;5;56
442;Mei-57;2.466625773;1.534141134;5;57
443;Mei-58;0.53419355;1.529046482;5;58
444;Mei-59;0.553633905;1.204519563;5;59
445;Mei-60;1.297594178;0.452753849;5;60
446;Mei-61;1.005815972;1.43084987;5;61
447;Mei-62;0.486612098;1.205268146;5;62
448;Mei-63;2.926896104;2.280263101;5;63
449;Mei-64;-0.589766663;1.065592737;5;64
450;Mei-65;0.346303601;1.524283424;5;65
451;Mei-66;0.723349147;0.923041111;5;66
452;Mei-67;0.464650242;0.367713738;5;67
453;Mei-68;1.471886654;2.01790411;5;68
454;Mei-69;1.039805097;1.780982978;5;69
455;Mei-70;1.298570679;1.722436033;5;70
456;Mei-71;1.885615711;1.251403498;5;71
457;Mei-72;-2.363098203;0.470934215;5;72
458;Mei-73;-0.887696505;0.34843939;5;73
459;Mei-74;1.110937828;1.907158806;5;74
460;Mei-75;-3.567529324;0.020236158;5;75
461;Mei-76;-0.478599871;1.498937228;5;76
462;Mei-77;2.584183912;1.451139717;5;77
463;Mei-78;2.213944378;0.899889996;5;78
464;Mei-79;1.53028695;0.723786877;5;79
465;Mei-80;-0.742381063;0.519537506;5;80
466;Mei-81;0.202281355;0.934446262;5;81
467;Mei-82;-0.498633965;3.377899359;5;82
468;Mei-83;1.083781861;2.259639116;5;83
469;Mei-84;4.151164294;2.981177697;5;84
470;Mei-85;0.312139969;0.803972338;5;85
471;Mei-86;-0.551948768;1.581698353;5;86
472;Mei-87;-2.651233429;0.010960102;5;87
473;Mei-88;0.192381704;1.123881348;5;88
474;Mei-89;-1.912405547;0.386041355;5;89
475;Mei-90;2.990062945;1.930468171;5;90
476;Mei-91;3.094972476;2.378008665;5;91
477;Mei-92;0.114358232;1.212619286;5;92
478;Mei-93;0.895000251;1.140569154;5;93
479;Mei-94;-0.467133129;1.646762261;5;94
480;Mei-95;-1.035935373;0.21636861;5;95
481;Mei-96;1.360827551;0.390098392;5;96
482;Mei-97;-0.129863081;1.030779859;5;97
483;Mei-98;1.502341656;0.792499202;5;98
484;Mei-99;-0.241870447;2.017586182;5;99
485;5-100;0.521916642;1.279371245;5;100
486;06-Jul;2.444483995;0.127295056;6;7
487;06-Agust;0.534394546;0.50216542;6;8
488;06-Sep;0.888710071;0.587887312;6;9
489;06-Okt;-0.376617324;0.007312181;6;10
490;06-Nop;2.042496063;0.61606313;6;11
491;06-Des;1.160785053;0.959382186;6;12
492;Jun-13;0.081307224;0.509455427;6;13
493;Jun-14;1.324977526;0.575823515;6;14
494;Jun-15;1.115223033;0.381253994;6;15
495;Jun-16;3.701056476;1.338142084;6;16
496;Jun-17;1.258390023;1.464070748;6;17
497;Jun-18;2.63478062;1.196486423;6;18
498;Jun-19;2.265061047;1.980297106;6;19
499;Jun-20;1.337536921;1.508016499;6;20
500;Jun-21;1.151234588;0.16089403;6;21
501;Jun-22;-0.185467843;0.163162393;6;22
502;Jun-23;3.030091398;1.200773503;6;23
503;Jun-24;0.630749244;0.152674655;6;24
504;Jun-25;0.149942785;0.590617831;6;25
505;Jun-26;1.392912369;1.127650346;6;26
506;Jun-27;1.600412053;2.268610334;6;27
507;Jun-28;0.857099533;0.198223283;6;28
508;Jun-29;-0.212964014;0.55073467;6;29
509;Jun-30;3.43813645;2.983780245;6;30
510;Jun-31;3.068788913;1.233375424;6;31
511;Jun-32;-1.477146253;0.021862504;6;32
512;Jun-33;1.654400172;1.273693149;6;33
513;Jun-34;-0.623130502;1.100282342;6;34
514;Jun-35;-0.520741711;0.450003251;6;35
515;Jun-36;0.10575232;0.863746639;6;36
516;Jun-37;1.689179126;0.002379262;6;37
517;Jun-38;-0.527055483;0.840446374;6;38
518;Jun-39;1.723789095;0.685422921;6;39
519;Jun-40;1.120102701;1.936738442;6;40
520;Jun-41;2.761922613;1.935243772;6;41
521;Jun-42;0.197202208;0.328790262;6;42
522;Jun-43;1.369320501;0.332001691;6;43
523;Jun-44;1.015692683;0.695377802;6;44
524;Jun-45;2.111541317;0.475589722;6;45
525;Jun-46;-2.054754431;0.127172741;6;46
526;Jun-47;2.313257896;0.926211305;6;47
527;Jun-48;1.476443424;0.22672898;6;48
528;Jun-49;1.484430254;0.245374962;6;49
529;Jun-50;-1.382430592;1.042102047;6;50
530;Jun-51;-0.959412294;0.075517134;6;51
531;Jun-52;1.480122845;2.283541713;6;52
532;Jun-53;-1.442215959;0.23378265;6;53
533;Jun-54;2.00652104;1.655882109;6;54
534;Jun-55;4.445520376;2.690670794;6;55
535;Jun-56;2.126730218;0.351802595;6;56
536;Jun-57;0.955802385;1.060928623;6;57
537;Jun-58;2.267706661;1.055833971;6;58
538;Jun-59;1.457746149;0.731307052;6;59
539;Jun-60;-1.07681144;0.020458662;6;60
540;Jun-61;1.448067115;1.904062381;6;61
541;Jun-62;1.898712853;0.732055635;6;62
542;Jun-63;0.266468156;1.80705059;6;63
543;Jun-64;0.89883087;0.592380226;6;64
544;Jun-65;1.398458075;1.051070913;6;65
545;Jun-66;1.648078128;0.4498286;6;66
546;Jun-67;0.138438272;0.105498773;6;67
547;Jun-68;4.692606029;1.544691599;6;68
548;Jun-69;1.441334234;1.307770467;6;69
549;Jun-70;0.659962126;1.249223522;6;70
550;Jun-71;1.869120641;0.778190987;6;71
551;Jun-72;0.150115361;0.002278296;6;72
552;Jun-73;-1.387641548;0.821651901;6;73
553;Jun-74;1.240877291;1.433946295;6;74
554;Jun-75;-4.245443149;0.493448669;6;75
555;Jun-76;0.714499867;1.025724717;6;76
556;Jun-77;3.37191562;0.977927205;6;77
557;Jun-78;-0.06823493;0.426677485;6;78
558;Jun-79;0.956058648;0.250574366;6;79
559;Jun-80;-0.740793098;0.046324994;6;80
560;Jun-81;1.481848586;0.461233751;6;81
561;Jun-82;2.041921801;2.904686848;6;82
562;Jun-83;2.089727744;1.786426605;6;83
563;Jun-84;1.056257006;2.507965186;6;84
564;Jun-85;0.463560789;0.330759826;6;85
565;Jun-86;-0.746088022;1.108485842;6;86
566;Jun-87;-1.318671649;0.462252409;6;87
567;Jun-88;1.918615437;1.597093859;6;88
568;Jun-89;-1.907302504;0.087171156;6;89
569;Jun-90;3.400421586;1.45725566;6;90
570;Jun-91;1.994161653;1.904796154;6;91
571;Jun-92;0.543540137;1.685831797;6;92
572;Jun-93;5.212823006;0.667356643;6;93
573;Jun-94;-0.491524354;1.17354975;6;94
574;Jun-95;1.51804746;0.689581121;6;95
575;Jun-96;3.388826083;0.083114119;6;96
576;Jun-97;-1.352588606;0.557567348;6;97
